step,train_ce,holdout_ce,train_mae,holdout_mae,holdout_rmse,lr
250,3.0569761693145017,3.162319481339572,0.04816470342588478,0.049405827839759046,0.061308455876675216,4.999503211012883e-05
500,2.4436445495645915,2.5973636532934115,0.013194004204966145,0.01688375273832727,0.02438505665964665,4.9821367415402325e-05
750,2.3480682754556517,2.6081793270007307,0.0119851377105858,0.016945772814584155,0.02584799358913372,4.9401319245753805e-05
1000,2.18711836408225,2.589253930641072,0.011462759322837104,0.015881936589461736,0.02325863091889907,4.873914282770506e-05
1250,2.072194897918962,2.504104904597625,0.008958374687998523,0.013852553949098885,0.020690462252518933,4.784154622680621e-05
1500,1.9896337896186327,2.482106333914479,0.007857382994578594,0.013356992173352669,0.020585007783934187,4.671762239271875e-05
1750,2.052345452514211,2.5600474059548497,0.00819183704126252,0.013498841042227079,0.021330428584291846,4.5378757044636037e-05
2000,2.015437019822587,2.5843794607291266,0.007470003825151902,0.012979779710674069,0.02074965942501687,4.3838513330191975e-05
2250,1.9446373463641586,2.684334599745593,0.007614650993413566,0.013551596802894241,0.020544655699899207,4.211249442630133e-05
2500,1.7717668143200822,2.5877427346838107,0.005596209639017096,0.01264639733471995,0.020619154239764854,4.021818547383049e-05
2750,1.7159286635661763,2.5735230430727825,0.0056906291009519395,0.012401955247046967,0.019633342370900635,3.817477644735259e-05
3000,1.688722656324639,2.636522616675523,0.005987066949923506,0.01217829542279755,0.019836792180780518,3.6002967754374824e-05
3250,1.6537707565252535,2.697896814988261,0.005190528617796579,0.012348451076572278,0.020562298802460015,3.372476053338182e-05
3500,1.5803158713637717,2.811077907332219,0.0049753828673471745,0.012304504412246129,0.01991395034580915,3.1363233775045164e-05
3750,1.5799976811977103,2.812896906797375,0.004542389879264063,0.012570599168222023,0.02076662004075687,2.8942310524434777e-05
4000,1.4719868156160894,2.8534195201604495,0.004138119196081139,0.012314984614671889,0.020375780659859833,2.6486515532680676e-05
4250,1.4650175065533924,2.9569981266977265,0.004004377348207656,0.012606343778705715,0.021048051422447846,2.4020726813153997e-05
4500,1.498397756700537,3.124361888256057,0.004514345955288134,0.012537638903527945,0.019700550347171088,2.156992361898488e-05
4750,1.3535543945701127,3.0535882074036635,0.0033942415242823438,0.012096945592929842,0.0199383776029399,1.9158933394988242e-05
5000,1.3776525749043296,3.1613648078720353,0.0037183303579045707,0.012205267452827684,0.019785683797675105,1.6812180267457883e-05
5250,1.2647498732382831,3.1953839115199765,0.00305130604504354,0.012185238787748989,0.019798230606621052,1.4553437619710168e-05
5500,1.2102301402649442,3.2632757941527024,0.0027222707202391966,0.012187551798498524,0.019628495675375317,1.2405587259868874e-05
5750,1.2515196064819716,3.3513516685010734,0.003034682962476966,0.012466516597994217,0.020603195675159797,1.0390387620600696e-05
6000,1.173738971061539,3.361255870100909,0.002607037825328007,0.012201184315407383,0.020122643136137534,8.528253339014816e-06
